,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeELORating,AwayELORating,EloGap,HomePossession,AwayPossession,year,month,HomeAttackingRating,HomeMidfieldRating,HomeDefenceRating,HomeOverallRating,AwayAttackingRating,AwayMidfieldRating,AwayDefenceRating,AwayOverallRating,HOMEATTACKVSAWAYDEFENCE,AWAYATTACKVSHOMEDEFENCE,HOMERATINGSVSAWAYRATINGS,HOMEMIDFIELDVSAWAYMIDFIELD
55,55,55,55,55,55,55,55,23/09/2017,Stoke,Chelsea,0,4,A,0,2,A,13,7,2,4,5,14,5,0,2,2,0,0,1673.8112793,1916.50927734,-242.69799804,44,56,2017,9,78,76,77,77,85,85,82,84,-4,8,-7,-9
56,56,56,56,56,56,56,56,23/09/2017,Swansea,Watford,1,2,A,0,1,A,10,8,3,4,9,16,5,4,1,3,0,0,1658.35046387,1633.93347168,24.4169921900002,51,49,2017,9,77,76,75,76,77,76,76,77,1,2,-1,0
57,57,57,57,57,57,57,57,23/09/2017,West Ham,Tottenham,2,3,A,0,2,A,10,15,4,5,10,20,4,3,4,2,0,1,1661.47058105,1893.04931641,-231.57873536000008,50,50,2017,9,80,78,78,79,86,82,82,82,-2,8,-3,-4
58,58,58,58,58,58,58,58,24/09/2017,Brighton,Newcastle,1,0,H,0,0,D,7,17,3,5,6,8,2,8,2,1,0,0,1590.20983887,1646.11120605,-55.901367179999845,50,50,2017,9,75,74,73,74,74,75,75,75,0,1,-1,-1
59,59,59,59,59,59,59,59,25/09/2017,Arsenal,West Brom,2,0,H,1,0,H,16,7,6,3,8,17,7,4,1,4,0,0,1845.99353027,1651.59313965,194.40039062,68,32,2017,9,86,82,81,83,80,77,76,77,10,-1,6,5
60,60,60,60,60,60,60,60,30/09/2017,Bournemouth,Leicester,0,0,D,0,0,D,19,8,4,1,6,10,7,5,1,0,0,0,1640.12658691,1713.9284667999998,-73.80187988999978,62,38,2017,9,76,74,75,75,80,78,76,78,0,5,-3,-4
61,61,61,61,61,61,61,61,30/09/2017,Chelsea,Man City,0,1,A,0,0,D,4,17,2,6,8,13,4,8,0,2,0,0,1944.92614746,1922.1574707000002,22.76867675999984,38,62,2017,9,85,85,82,84,84,85,81,83,4,2,1,0
62,62,62,62,62,62,62,62,30/09/2017,Huddersfield,Tottenham,0,4,A,0,3,A,6,14,1,7,7,4,4,7,1,1,0,0,1531.31860352,1912.41748047,-381.09887695000015,42,58,2017,9,75,73,72,73,86,82,82,82,-7,14,-9,-9
63,63,63,63,63,63,63,63,30/09/2017,Man United,Crystal Palace,4,0,H,2,0,H,18,6,7,1,6,9,6,5,0,0,0,0,1914.4239502,1602.28564453,312.13830567000014,59,41,2017,9,86,83,81,83,81,76,76,76,10,0,7,7
64,64,64,64,64,64,64,64,30/09/2017,Stoke,Southampton,2,1,H,1,0,H,17,21,6,3,11,10,5,6,1,2,0,0,1674.51721191,1692.27880859,-17.761596679999908,30,70,2017,9,78,76,77,77,78,78,78,78,0,1,-1,-2
65,65,65,65,65,65,65,65,30/09/2017,West Brom,Watford,2,2,D,2,1,H,9,15,4,3,12,11,7,6,3,0,0,0,1656.64233398,1653.19262695,3.449707030000127,35,65,2017,9,80,77,76,77,77,76,76,77,4,1,0,1
66,66,66,66,66,66,66,66,30/09/2017,West Ham,Swansea,1,0,H,0,0,D,9,6,4,1,15,13,2,1,3,2,0,0,1666.02026367,1656.43762207,9.582641599999988,45,55,2017,9,80,78,78,79,77,76,75,76,5,-1,3,2
67,67,67,67,67,67,67,67,01/10/2017,Arsenal,Brighton,2,0,H,1,0,H,25,9,12,1,7,8,6,5,0,2,0,0,1861.12902832,1606.64453125,254.4844970700001,65,35,2017,10,85,82,81,82,74,74,74,74,11,-7,8,8
68,68,68,68,68,68,68,68,01/10/2017,Everton,Burnley,0,1,A,0,1,A,23,5,4,2,14,7,9,3,2,2,0,0,1740.60375977,1663.40649414,77.19726562999995,61,39,2017,10,74,82,79,80,74,75,76,75,-2,-5,5,7
69,69,69,69,69,69,69,69,01/10/2017,Newcastle,Liverpool,1,1,D,1,1,D,8,17,5,2,11,6,1,5,1,1,0,0,1647.02294922,1854.9107665999998,-207.8878173799997,33,67,2017,10,74,74,75,75,83,82,77,82,-3,8,-7,-8
